zes28a-1a2b-09v
Date,Time,Value [µS/cm],Quality,Tags,Comments
27/08/2025,01:40:00,3460.796,NA,conductivity,21.253
27/08/2025,01:45:00,3430.096,NA,conductivity,21.249
27/08/2025,01:50:00,3464.716,NA,conductivity,21.237
27/08/2025,01:55:00,3410.074,NA,conductivity,21.249
27/08/2025,02:00:00,3420.729,NA,conductivity,21.258
27/08/2025,02:05:00,3469.902,NA,conductivity,21.266
27/08/2025,02:10:00,3503.286,NA,conductivity,21.276
27/08/2025,02:15:00,3530.126,NA,conductivity,21.284
27/08/2025,02:20:00,3575.140,NA,conductivity,21.306
27/08/2025,02:25:00,3646.437,NA,conductivity,21.313
27/08/2025,02:30:00,3698.061,NA,conductivity,21.324
27/08/2025,02:35:00,3736.586,NA,conductivity,21.329
27/08/2025,02:40:00,3764.100,NA,conductivity,21.331
27/08/2025,02:45:00,3818.910,NA,conductivity,21.341
27/08/2025,02:50:00,3870.197,NA,conductivity,21.355
27/08/2025,02:55:00,3937.400,NA,conductivity,21.364
27/08/2025,03:00:00,4023.868,NA,conductivity,21.373
27/08/2025,03:05:00,4099.980,NA,conductivity,21.381
27/08/2025,03:10:00,4202.246,NA,conductivity,21.385
27/08/2025,03:15:00,4379.472,NA,conductivity,21.387
27/08/2025,03:20:00,4515.388,NA,conductivity,21.390
27/08/2025,03:25:00,4664.944,NA,conductivity,21.401
27/08/2025,03:30:00,4743.725,NA,conductivity,21.409
27/08/2025,03:35:00,4856.945,NA,conductivity,21.417
27/08/2025,03:40:00,4938.641,NA,conductivity,21.419
27/08/2025,03:45:00,5037.858,NA,conductivity,21.423
27/08/2025,03:50:00,5122.684,NA,conductivity,21.425
27/08/2025,03:55:00,5225.465,NA,conductivity,21.428
27/08/2025,04:00:00,5343.829,NA,conductivity,21.437
27/08/2025,04:05:00,5406.583,NA,conductivity,21.438
27/08/2025,04:10:00,5514.463,NA,conductivity,21.442
27/08/2025,04:15:00,5646.232,NA,conductivity,21.446
27/08/2025,04:20:00,5735.104,NA,conductivity,21.448
27/08/2025,04:25:00,5811.949,NA,conductivity,21.449
27/08/2025,04:30:00,5927.812,NA,conductivity,21.451
27/08/2025,04:35:00,6030.362,NA,conductivity,21.453
27/08/2025,04:40:00,6153.854,NA,conductivity,21.453
27/08/2025,04:45:00,6292.891,NA,conductivity,21.455
27/08/2025,04:50:00,6516.736,NA,conductivity,21.456
27/08/2025,04:55:00,6658.085,NA,conductivity,21.454
27/08/2025,05:00:00,6795.994,NA,conductivity,21.453
27/08/2025,05:05:00,6948.640,NA,conductivity,21.453
27/08/2025,05:10:00,7120.999,NA,conductivity,21.453
27/08/2025,05:15:00,7326.502,NA,conductivity,21.454
27/08/2025,05:20:00,7566.623,NA,conductivity,21.457
27/08/2025,05:25:00,7836.496,NA,conductivity,21.459
27/08/2025,05:30:00,8196.307,NA,conductivity,21.460
27/08/2025,05:35:00,8577.382,NA,conductivity,21.460
27/08/2025,05:40:00,8944.874,NA,conductivity,21.462
27/08/2025,05:45:00,9562.433,NA,conductivity,21.463
27/08/2025,05:50:00,10015.581,NA,conductivity,21.460
27/08/2025,05:55:00,10364.024,NA,conductivity,21.459
27/08/2025,06:00:00,10705.180,NA,conductivity,21.455
27/08/2025,06:05:00,10981.162,NA,conductivity,21.451
27/08/2025,06:10:00,11324.661,NA,conductivity,21.443
27/08/2025,06:15:00,11568.092,NA,conductivity,21.438
27/08/2025,06:20:00,11916.529,NA,conductivity,21.437
27/08/2025,06:25:00,12120.684,NA,conductivity,21.433
27/08/2025,06:30:00,12449.058,NA,conductivity,21.428
27/08/2025,06:35:00,12603.400,NA,conductivity,21.429
27/08/2025,06:40:00,12809.011,NA,conductivity,21.424
27/08/2025,06:45:00,13017.017,NA,conductivity,21.420
27/08/2025,06:50:00,13105.490,NA,conductivity,21.420
27/08/2025,06:55:00,13260.184,NA,conductivity,21.421
27/08/2025,07:00:00,13336.260,NA,conductivity,21.420
27/08/2025,07:05:00,13400.894,NA,conductivity,21.421
27/08/2025,07:10:00,13390.452,NA,conductivity,21.424
27/08/2025,07:15:00,13375.772,NA,conductivity,21.425
27/08/2025,07:20:00,13245.937,NA,conductivity,21.420
27/08/2025,07:25:00,13137.141,NA,conductivity,21.419
27/08/2025,07:30:00,12763.951,NA,conductivity,21.417
27/08/2025,07:35:00,12536.745,NA,conductivity,21.415
27/08/2025,07:40:00,12532.018,NA,conductivity,21.418
27/08/2025,07:45:00,12536.918,NA,conductivity,21.416
27/08/2025,07:50:00,12456.084,NA,conductivity,21.416
27/08/2025,07:55:00,11934.798,NA,conductivity,21.398
27/08/2025,08:00:00,11650.095,NA,conductivity,21.395
27/08/2025,08:05:00,11612.429,NA,conductivity,21.402
27/08/2025,08:10:00,11396.665,NA,conductivity,21.402
27/08/2025,08:15:00,10860.200,NA,conductivity,21.396
27/08/2025,08:20:00,10183.045,NA,conductivity,21.392
27/08/2025,08:25:00,9441.001,NA,conductivity,21.396
27/08/2025,08:30:00,9440.004,NA,conductivity,21.403
27/08/2025,08:35:00,9420.360,NA,conductivity,21.406
27/08/2025,08:40:00,9576.997,NA,conductivity,21.410
27/08/2025,08:45:00,9592.762,NA,conductivity,21.419
27/08/2025,08:50:00,9496.737,NA,conductivity,21.422
27/08/2025,08:55:00,9436.228,NA,conductivity,21.422
27/08/2025,09:00:00,9309.179,NA,conductivity,21.423
27/08/2025,09:05:00,9205.167,NA,conductivity,21.424
27/08/2025,09:10:00,9086.104,NA,conductivity,21.424
27/08/2025,09:15:00,8953.364,NA,conductivity,21.426
27/08/2025,09:20:00,8779.909,NA,conductivity,21.426
27/08/2025,09:25:00,8642.878,NA,conductivity,21.426
27/08/2025,09:30:00,8495.369,NA,conductivity,21.427
27/08/2025,09:35:00,8357.235,NA,conductivity,21.427
27/08/2025,09:40:00,8181.943,NA,conductivity,21.428
27/08/2025,09:45:00,8041.709,NA,conductivity,21.430
27/08/2025,09:50:00,7902.325,NA,conductivity,21.432
27/08/2025,09:55:00,7773.575,NA,conductivity,21.436
27/08/2025,10:00:00,7667.406,NA,conductivity,21.439
27/08/2025,10:05:00,7568.970,NA,conductivity,21.441
27/08/2025,10:10:00,7466.492,NA,conductivity,21.443
27/08/2025,10:15:00,7363.036,NA,conductivity,21.446
27/08/2025,10:20:00,7251.203,NA,conductivity,21.445
27/08/2025,10:25:00,7152.476,NA,conductivity,21.445
27/08/2025,10:30:00,7030.593,NA,conductivity,21.447
27/08/2025,10:35:00,6892.313,NA,conductivity,21.449
27/08/2025,10:40:00,6804.951,NA,conductivity,21.452
27/08/2025,10:45:00,6700.061,NA,conductivity,21.451
27/08/2025,10:50:00,6624.922,NA,conductivity,21.452
27/08/2025,10:55:00,6525.808,NA,conductivity,21.456
27/08/2025,11:00:00,6387.126,NA,conductivity,21.458
27/08/2025,11:05:00,6301.472,NA,conductivity,21.465
27/08/2025,11:10:00,6204.689,NA,conductivity,21.469
27/08/2025,11:15:00,6115.287,NA,conductivity,21.474
27/08/2025,11:20:00,6017.330,NA,conductivity,21.477
27/08/2025,11:25:00,5911.022,NA,conductivity,21.479
27/08/2025,11:30:00,5827.159,NA,conductivity,21.482
27/08/2025,11:35:00,5729.453,NA,conductivity,21.484
27/08/2025,11:40:00,5652.170,NA,conductivity,21.489
27/08/2025,11:45:00,5579.971,NA,conductivity,21.489
27/08/2025,11:50:00,5480.106,NA,conductivity,21.494
27/08/2025,11:55:00,5353.529,NA,conductivity,21.491
27/08/2025,12:00:00,5274.404,NA,conductivity,21.499
27/08/2025,12:05:00,5171.989,NA,conductivity,21.497
27/08/2025,12:10:00,5087.328,NA,conductivity,21.494
27/08/2025,12:15:00,4974.638,NA,conductivity,21.489
27/08/2025,12:20:00,4885.141,NA,conductivity,21.491
27/08/2025,12:25:00,4821.448,NA,conductivity,21.494
27/08/2025,12:30:00,4739.960,NA,conductivity,21.503
27/08/2025,12:35:00,4662.442,NA,conductivity,21.505
27/08/2025,12:40:00,4594.086,NA,conductivity,21.510
27/08/2025,12:45:00,4535.151,NA,conductivity,21.517
27/08/2025,12:50:00,4473.947,NA,conductivity,21.522
27/08/2025,12:55:00,4407.678,NA,conductivity,21.531
27/08/2025,13:00:00,4339.392,NA,conductivity,21.528
27/08/2025,13:05:00,4271.489,NA,conductivity,21.522
27/08/2025,13:10:00,4224.808,NA,conductivity,21.521
27/08/2025,13:15:00,4157.659,NA,conductivity,21.521
27/08/2025,13:20:00,4091.490,NA,conductivity,21.512
27/08/2025,13:25:00,4043.098,NA,conductivity,21.512
27/08/2025,13:30:00,4023.065,NA,conductivity,21.523
27/08/2025,13:35:00,3988.495,NA,conductivity,21.519
27/08/2025,13:40:00,3999.422,NA,conductivity,21.537
27/08/2025,13:45:00,3949.014,NA,conductivity,21.505
27/08/2025,13:50:00,3932.509,NA,conductivity,21.496
27/08/2025,13:55:00,3949.030,NA,conductivity,21.510
27/08/2025,14:00:00,3981.713,NA,conductivity,21.513
27/08/2025,14:05:00,4028.704,NA,conductivity,21.514
27/08/2025,14:10:00,4057.481,NA,conductivity,21.521
27/08/2025,14:15:00,4120.103,NA,conductivity,21.528
27/08/2025,14:20:00,4177.572,NA,conductivity,21.529
27/08/2025,14:25:00,4210.403,NA,conductivity,21.533
27/08/2025,14:30:00,4252.954,NA,conductivity,21.529
27/08/2025,14:35:00,4314.381,NA,conductivity,21.536
27/08/2025,14:40:00,4354.604,NA,conductivity,21.535
27/08/2025,14:45:00,4426.257,NA,conductivity,21.540
27/08/2025,14:50:00,4507.036,NA,conductivity,21.542
27/08/2025,14:55:00,4584.451,NA,conductivity,21.545
27/08/2025,15:00:00,4659.316,NA,conductivity,21.552
27/08/2025,15:05:00,4763.768,NA,conductivity,21.560
27/08/2025,15:10:00,4929.538,NA,conductivity,21.562
27/08/2025,15:15:00,5074.793,NA,conductivity,21.574
27/08/2025,15:20:00,5237.893,NA,conductivity,21.584
27/08/2025,15:25:00,5336.597,NA,conductivity,21.590
27/08/2025,15:30:00,5457.041,NA,conductivity,21.593
27/08/2025,15:35:00,5563.623,NA,conductivity,21.594
27/08/2025,15:40:00,5664.024,NA,conductivity,21.597
27/08/2025,15:45:00,5730.066,NA,conductivity,21.600
27/08/2025,15:50:00,5858.400,NA,conductivity,21.604
27/08/2025,15:55:00,5926.428,NA,conductivity,21.606
27/08/2025,16:00:00,5981.549,NA,conductivity,21.606
27/08/2025,16:05:00,6070.310,NA,conductivity,21.601
27/08/2025,16:10:00,6142.790,NA,conductivity,21.598
27/08/2025,16:15:00,6221.871,NA,conductivity,21.597
27/08/2025,16:20:00,6315.052,NA,conductivity,21.597
27/08/2025,16:25:00,6401.742,NA,conductivity,21.598
27/08/2025,16:30:00,6466.848,NA,conductivity,21.601
27/08/2025,16:35:00,6560.719,NA,conductivity,21.603
27/08/2025,16:40:00,6658.672,NA,conductivity,21.603
27/08/2025,16:45:00,6736.205,NA,conductivity,21.601
27/08/2025,16:50:00,6854.452,NA,conductivity,21.600
27/08/2025,16:55:00,6963.469,NA,conductivity,21.602
27/08/2025,17:00:00,7061.828,NA,conductivity,21.602
27/08/2025,17:05:00,7247.285,NA,conductivity,21.604
27/08/2025,17:10:00,7391.754,NA,conductivity,21.606
27/08/2025,17:15:00,7525.150,NA,conductivity,21.608
27/08/2025,17:20:00,7666.900,NA,conductivity,21.609
27/08/2025,17:25:00,7821.012,NA,conductivity,21.608
27/08/2025,18:00:00,9961.762,NA,conductivity,21.602
27/08/2025,18:05:00,10404.626,NA,conductivity,21.596
27/08/2025,18:10:00,10836.216,NA,conductivity,21.592
27/08/2025,18:15:00,11204.793,NA,conductivity,21.590
27/08/2025,18:20:00,11575.047,NA,conductivity,21.591
27/08/2025,18:25:00,11820.388,NA,conductivity,21.593
27/08/2025,18:30:00,12149.340,NA,conductivity,21.593
27/08/2025,18:35:00,12450.068,NA,conductivity,21.592
