raai1 bathy 8;raai in water;184005.4144;87307.7197;5.3671;0.0088;0.0130;13:04:37;2025/03/25
raai1 bathy 9;raai in water;184005.2222;87307.9839;5.3012;0.0082;0.0124;13:05:10;2025/03/25
raai1 bathy 10;raai in water;184004.9142;87308.2472;5.3464;0.0083;0.0126;13:05:26;2025/03/25
raai1 bathy 11;raai in water;184004.7695;87308.4660;5.3083;0.0076;0.0116;13:05:44;2025/03/25
raai1 bathy 12;raai in water;184004.2128;87309.0308;5.3627;0.0086;0.0130;13:06:06;2025/03/25
raai1 bathy 13;raai in water;184003.7112;87309.6420;5.3622;0.0076;0.0115;13:06:33;2025/03/25
raai1 bathy 14;raai in water;184003.3193;87310.0176;5.4187;0.0079;0.0122;13:06:53;2025/03/25
raai1 bathy 15;raai in water;184003.0971;87310.2045;5.4996;0.0072;0.0112;13:07:12;2025/03/25
raai1 bathy 16;raai in water;184002.8100;87310.3792;5.5607;0.0087;0.0133;13:07:27;2025/03/25
raai1 bathy 17;raai in water;184002.5457;87310.6083;5.5905;0.0089;0.0137;13:07:45;2025/03/25
raai1 bathy 18;raai in water;184002.3223;87310.8320;5.6091;0.0079;0.0124;13:08:02;2025/03/25
raai1 bathy 19;raai in water;184002.2159;87310.8411;5.8822;0.0078;0.0123;13:08:19;2025/03/25
bodem1;Bodem 1 op raai1;183996.9911;87302.7224;5.4188;0.0070;0.0111;13:16:57;2025/03/25
bodem2;Bodem op raai1;183999.7870;87300.9617;5.2991;0.0056;0.0092;13:20:24;2025/03/25
bodem3;Bodem op raai1;184002.5096;87298.5644;5.2094;0.0066;0.0109;13:24:38;2025/03/25
bodem oever 1;Bodem oever1;183997.3043;87305.4254;5.8640;0.0055;0.0085;13:32:43;2025/03/25
bodem oever 2;Bodem oever2;183996.4362;87305.7514;6.1620;0.0053;0.0080;13:33:11;2025/03/25
bodem oever 3;Bodem oever;184006.9550;87318.0170;6.2949;0.0113;0.0179;13:48:44;2025/03/25
bodem oever 4;Bodem oever;184007.6920;87319.4657;6.4615;0.0067;0.0104;13:50:18;2025/03/25
waterpeil1;waterpeileinde;183996.6180;87304.4139;5.7596;0.0077;0.0123;14:05:06;2025/03/25
waterpeil2;waterpeileinde;183996.8470;87304.7215;5.7739;0.0066;0.0106;14:05:25;2025/03/25
waterpeil3;waterpeileinde;183997.1377;87305.0584;5.7663;0.0066;0.0104;14:05:41;2025/03/25
